stratum,n_records,n_patients,n_pos__deterioration_icu_24h,n_neg__deterioration_icu_24h,n_pairs__deterioration_icu_24h,n_pos__deterioration_mortality_28d,n_neg__deterioration_mortality_28d,n_pairs__deterioration_mortality_28d,n_pos__deterioration_mortality_365d,n_neg__deterioration_mortality_365d,n_pairs__deterioration_mortality_365d
>60|00-06|1|3.0,16,15,1,15,15,0,16,0,2,14,28
>60|06-12|1|2.0,16,16,2,14,28,2,14,28,4,12,48
30-60|06-12|0|1.0,16,15,5,11,55,1,14,14,2,13,26
>60|00-06|0|2.0,13,13,1,12,12,0,13,0,0,13,0
30-60|12-18|1|1.0,13,12,2,11,22,3,10,30,3,10,30
<=15|18-24|0|-1.0,13,13,7,4,28,3,10,30,6,7,42
15-30|00-06|1|1.0,12,12,6,6,36,0,12,0,2,10,20
15-30|00-06|0|1.0,10,9,2,5,10,1,9,9,6,4,24
>60|00-06|0|3.0,10,10,0,10,0,0,10,0,0,10,0
<=15|12-18|1|-1.0,9,7,1,8,8,0,8,0,1,7,7
<=15|06-12|0|-1.0,9,9,5,4,20,5,4,20,6,3,18
30-60|00-06|1|3.0,9,9,1,8,8,2,7,14,2,7,14
>60|12-18|1|1.0,9,9,3,6,18,0,9,0,1,8,8
>60|12-18|0|1.0,8,8,3,5,15,0,8,0,1,7,7
30-60|06-12|1|1.0,8,4,3,5,15,0,8,0,3,5,15
15-30|18-24|1|-1.0,8,8,7,0,0,3,5,15,5,3,15
<=15|06-12|1|-1.0,8,8,4,2,8,2,5,10,3,4,12
15-30|12-18|1|-1.0,8,7,4,4,16,1,6,6,2,5,10
>60|18-24|0|-1.0,7,5,3,4,12,2,5,10,2,5,10
15-30|12-18|0|-1.0,7,7,5,2,10,1,5,5,1,5,5
30-60|00-06|0|-1.0,7,7,5,2,10,0,7,0,0,7,0
30-60|18-24|0|-1.0,6,5,4,2,8,2,4,8,4,2,8
30-60|00-06|0|1.0,6,6,2,3,6,1,5,5,1,5,5
30-60|12-18|0|-1.0,6,6,5,0,0,3,3,9,4,2,8
<=15|00-06|1|-1.0,6,6,3,2,6,1,4,4,2,3,6
>60|18-24|0|1.0,6,6,2,4,8,0,6,0,1,5,5
<=15|18-24|1|-1.0,6,6,5,1,5,2,4,8,2,4,8
>60|06-12|0|1.0,6,6,2,4,8,0,6,0,1,5,5
15-30|00-06|0|-1.0,5,4,5,0,0,3,2,6,5,0,0
30-60|06-12|0|-1.0,5,5,3,1,3,0,5,0,0,5,0
15-30|06-12|0|-1.0,5,5,4,1,4,1,4,4,1,4,4
<=15|00-06|0|-1.0,5,5,0,5,0,1,4,4,1,4,4
30-60|12-18|1|-1.0,4,4,3,1,3,0,4,0,0,4,0
>60|06-12|1|1.0,4,4,1,2,2,1,3,3,2,2,4
>60|00-06|0|-1.0,4,4,2,2,4,0,4,0,0,4,0
15-30|06-12|1|-1.0,4,4,1,2,2,2,2,4,2,2,4
>60|12-18|0|-1.0,4,4,2,2,4,2,2,4,2,2,4
<=15|18-24|0|4.0,4,3,0,4,0,0,4,0,0,4,0
15-30|18-24|0|-1.0,4,4,1,1,1,2,2,4,2,2,4
30-60|18-24|1|-1.0,3,3,2,1,2,1,2,2,1,2,2
30-60|00-06|1|1.0,3,3,2,1,2,0,2,0,0,2,0
>60|00-06|0|1.0,3,3,2,1,2,1,2,2,1,2,2
30-60|06-12|1|-1.0,3,3,2,1,2,1,2,2,1,2,2
>60|18-24|1|1.0,2,2,0,2,0,0,2,0,0,2,0
15-30|00-06|1|4.0,2,2,0,2,0,0,2,0,0,2,0
15-30|00-06|1|-1.0,2,2,1,1,1,0,1,0,0,1,0
>60|12-18|1|-1.0,2,2,0,2,0,0,2,0,0,2,0
<=15|18-24|1|4.0,2,2,0,2,0,0,2,0,0,2,0
>60|06-12|0|-1.0,2,2,1,1,1,1,1,1,1,1,1
>60|00-06|1|1.0,2,2,1,1,1,0,2,0,0,2,0
<=15|00-06|1|4.0,2,2,0,2,0,0,2,0,0,2,0
>60|06-12|1|4.0,1,1,0,1,0,0,1,0,0,1,0
<=15|12-18|1|4.0,1,1,0,1,0,0,1,0,0,1,0
>60|00-06|0|4.0,1,1,0,1,0,0,1,0,0,1,0
>60|18-24|1|-1.0,1,1,1,0,0,0,1,0,0,1,0
<=15|00-06|0|4.0,1,1,0,1,0,0,1,0,0,1,0
15-30|12-18|0|4.0,1,1,0,1,0,0,1,0,0,1,0
30-60|06-12|0|4.0,1,1,0,1,0,0,1,0,0,1,0
>60|12-18|1|4.0,1,1,0,1,0,0,1,0,0,1,0
30-60|00-06|0|4.0,1,1,0,1,0,0,1,0,0,1,0
30-60|00-06|1|-1.0,1,1,1,0,0,0,1,0,0,1,0
30-60|18-24|0|4.0,1,1,0,1,0,0,1,0,0,1,0
>60|06-12|0|4.0,1,1,0,1,0,0,1,0,0,1,0
>60|12-18|0|4.0,1,1,0,1,0,0,1,0,0,1,0
30-60|00-06|1|4.0,1,1,0,1,0,0,1,0,0,1,0
>60|18-24|1|4.0,1,1,0,1,0,0,1,0,0,1,0
